game_num,completed_at,first_guess,word,turns
51,2022-01-12 01:22:38.088851,their,adept,4
52,2022-01-12 01:22:38.222942,their,f0000,10
53,2022-01-12 01:22:38.362107,their,yukio,5
54,2022-01-12 01:22:38.484063,their,privy,5
55,2022-01-12 01:22:38.633006,their,degas,5
56,2022-01-12 01:22:38.772361,their,gülen,6
57,2022-01-12 01:22:38.899165,their,digby,5
58,2022-01-12 01:22:39.013636,their,heidi,3
59,2022-01-12 01:22:39.143736,their,janie,4
60,2022-01-12 01:22:39.261518,their,chika,6
61,2022-01-12 01:22:39.384111,their,ionic,4
62,2022-01-12 01:22:39.504579,their,ellis,4
63,2022-01-12 01:22:39.630525,their,wogan,4
64,2022-01-12 01:22:39.753432,their,elson,4
65,2022-01-12 01:22:39.874004,their,caned,8
66,2022-01-12 01:22:39.987885,their,izzie,7
67,2022-01-12 01:22:40.106148,their,gülen,6
68,2022-01-12 01:22:40.220646,their,grand,3
69,2022-01-12 01:22:40.340157,their,cardi,5
70,2022-01-12 01:22:40.463593,their,laing,5
71,2022-01-12 01:22:40.581941,their,ramon,6
72,2022-01-12 01:22:40.726125,their,porco,6
73,2022-01-12 01:22:40.854149,their,brann,6
74,2022-01-12 01:22:40.971063,their,paler,6
75,2022-01-12 01:22:41.088575,their,tibor,3
76,2022-01-12 01:22:41.206004,their,doner,4
77,2022-01-12 01:22:41.323001,their,howdy,5
78,2022-01-12 01:22:41.443926,their,amiri,5
79,2022-01-12 01:22:41.552557,their,hotly,3
80,2022-01-12 01:22:41.667700,their,sherm,5
81,2022-01-12 01:22:41.780183,their,hirsh,3
82,2022-01-12 01:22:41.903202,their,ponca,6
83,2022-01-12 01:22:42.012201,their,wacha,8
84,2022-01-12 01:22:42.127144,their,zeiss,4
85,2022-01-12 01:22:42.246845,their,cages,6
86,2022-01-12 01:22:42.366432,their,trier,3
87,2022-01-12 01:22:42.492499,their,kyoko,5
88,2022-01-12 01:22:42.618629,their,mofos,6
89,2022-01-12 01:22:42.757749,their,haigh,6
90,2022-01-12 01:22:42.872169,their,spine,4
91,2022-01-12 01:22:42.999663,their,skull,3
92,2022-01-12 01:22:43.114050,their,trudy,5
93,2022-01-12 01:22:43.238658,their,dunes,5
94,2022-01-12 01:22:43.352395,their,phila,7
95,2022-01-12 01:22:43.474759,their,vizag,3
96,2022-01-12 01:22:43.591279,their,drums,4
97,2022-01-12 01:22:43.711616,their,grier,6
98,2022-01-12 01:22:43.829641,their,welds,6
99,2022-01-12 01:22:43.950880,their,kanda,9
0,2022-01-12 01:22:44.087441,there,clank,4
1,2022-01-12 01:22:44.211839,there,trane,4
2,2022-01-12 01:22:44.356127,there,nylon,4
3,2022-01-12 01:22:44.478221,there,ethan,4
4,2022-01-12 01:22:44.624115,there,ethel,4
5,2022-01-12 01:22:44.749208,there,tokyo,3
6,2022-01-12 01:22:44.868582,there,uhhhh,6
7,2022-01-12 01:22:44.990462,there,vieux,5
8,2022-01-12 01:22:45.130808,there,naman,7
9,2022-01-12 01:22:45.269248,there,jacki,7
10,2022-01-12 01:22:45.392617,there,alive,4
11,2022-01-12 01:22:45.511428,there,maybe,3
12,2022-01-12 01:22:45.628790,there,staci,8
13,2022-01-12 01:22:45.755493,there,wells,5
14,2022-01-12 01:22:45.879335,there,puked,5
15,2022-01-12 01:22:46.011015,there,loins,6
16,2022-01-12 01:22:46.127999,there,trang,5
17,2022-01-12 01:22:46.241480,there,hymen,5
18,2022-01-12 01:22:46.374892,there,foods,4
19,2022-01-12 01:22:46.501370,there,mises,7
20,2022-01-12 01:22:46.650455,there,stool,5
21,2022-01-12 01:22:46.774649,there,steed,6
22,2022-01-12 01:22:46.931455,there,folks,4
23,2022-01-12 01:22:47.069790,there,jamba,7
24,2022-01-12 01:22:47.200943,there,lefty,3
