game_id,start_at,completed_at,strategy,n_letters,first_guess,word,turns
3474b4cb4ceb7,51:00.0,51:00.0,word_freq,5,right,unzip,5
43bd023e4151d,51:00.1,51:00.1,word_freq,5,right,mucky,6
535d8c3728cc9,51:00.2,51:00.3,word_freq,5,right,plant,4
6517e6afd2cba,51:00.3,51:00.4,word_freq,5,right,cedes,5
7ecd95c469542,51:00.5,51:00.5,word_freq,5,right,malvo,6
85fe6dab328f0,51:00.6,51:00.6,word_freq,5,right,mohan,6
94d81d2d7cc7d,51:00.7,51:00.8,word_freq,5,right,mmmmm,4
0f641de2bdbbb,51:00.9,51:00.9,word_freq,5,years,cielo,4
14dd8db4437cc,51:01.0,51:01.0,word_freq,5,years,petro,5
22f76ab2311cb,51:01.1,51:01.1,word_freq,5,years,daddy,4
3de3ef9e2a33d,51:01.2,51:01.2,word_freq,5,years,hares,9
40d896a4e5fbb,51:01.3,51:01.4,word_freq,5,years,suggs,6
5a00a1239bb5c,51:01.4,51:01.5,word_freq,5,years,sucka,4
623e7ced1ecc5,51:01.6,51:01.6,word_freq,5,years,unwed,4
787f511c5763d,51:01.7,51:01.7,word_freq,5,years,stool,3
80d5ea53bbb39,51:01.8,51:01.8,word_freq,5,years,mesas,4
9950947aaa6e7,51:01.9,51:02.0,word_freq,5,years,hadid,6
0302d1a7685b0,51:02.0,51:02.1,word_freq,5,being,candi,7
15b7a48523244,51:02.2,51:02.2,word_freq,5,being,hikes,4
28821f2c97a74,51:02.3,51:02.3,word_freq,5,being,rimes,5
3d0c1ecce46d8,51:02.4,51:02.4,word_freq,5,being,petyr,4
4e076111551a2,51:02.5,51:02.6,word_freq,5,being,quick,3
57d608da7b27f,51:02.6,51:02.7,word_freq,5,being,galle,6
62301dfdee5fb,51:02.8,51:02.8,word_freq,5,being,arson,5
7487683fcae26,51:02.9,51:02.9,word_freq,5,being,intro,3
827b21425cbd1,51:03.0,51:03.0,word_freq,5,being,homme,4
952f48cdffcf5,51:03.1,51:03.2,word_freq,5,being,raver,11
052b774fd6614,51:03.2,51:03.3,word_freq,5,going,rubra,6
168c3972bb31a,51:03.4,51:03.4,word_freq,5,going,kirby,4
23f8ff6f5a032,51:03.5,51:03.5,word_freq,5,going,dregs,3
3b3ce2ac9c1d8,51:03.6,51:03.7,word_freq,5,going,roots,5
4fc92e7d990f9,51:03.7,51:03.8,word_freq,5,going,wired,5
5bfbc82943ee8,51:03.9,51:03.9,word_freq,5,going,jamil,5
632e7408370c6,51:04.0,51:04.0,word_freq,5,going,roark,6
736e6aebcfb71,51:04.1,51:04.1,word_freq,5,going,penny,4
85936eeb9e6ad,51:04.2,51:04.3,word_freq,5,going,jokey,7
96035b0c00314,51:04.3,51:04.4,word_freq,5,going,bernd,5
063e4f106d851,51:04.5,51:04.5,word_freq,5,still,copts,6
13c34a221d75c,51:04.6,51:04.6,word_freq,5,still,soups,8
2ca16fb0260ce,51:04.7,51:04.7,word_freq,5,still,kochs,4
3661246816f5e,51:04.8,51:04.9,word_freq,5,still,ryong,4
4bfb6d7844af2,51:05.0,51:05.0,word_freq,5,still,gulen,5
5cb5cd2e20fbb,51:05.1,51:05.1,word_freq,5,still,ideas,4
6.63091E+12,51:05.2,51:05.2,word_freq,5,still,arius,4
7adb9c04a46d2,51:05.3,51:05.4,word_freq,5,still,halls,7
8286003046d17,51:05.4,51:05.5,word_freq,5,still,sixes,5
92cbd5a4e2501,51:05.6,51:05.6,word_freq,5,still,tanis,4
05d8bbf2795b2,51:05.7,51:05.7,word_freq,5,never,dawgs,5
1128d87b5b78b,51:05.8,51:05.9,word_freq,5,never,amino,4
2ff32ee51978f,51:05.9,51:06.0,word_freq,5,never,manik,4
3e5fc82f6f4bb,51:06.1,51:06.1,word_freq,5,never,okabe,6
404f0de9e2429,51:06.2,51:06.2,word_freq,5,never,mamet,6
50ec9bc11efe6,51:06.3,51:06.4,word_freq,5,never,arise,5
65d75eee22b11,51:06.4,51:06.5,word_freq,5,never,tarps,4
7604b11f598a4,51:06.6,51:06.6,word_freq,5,never,sowed,5
8b2af8e026a51,51:06.7,51:06.7,word_freq,5,never,césar,4
92b032bbf9a09,51:06.8,51:06.8,word_freq,5,never,geyer,6
08b182c3280d1,51:06.9,51:07.0,word_freq,5,those,hauer,8
1468dc846b2e6,51:07.0,51:07.1,word_freq,5,those,codex,5
28efbbffd51a4,51:07.2,51:07.2,word_freq,5,those,blanc,5
30e71cc16deab,51:07.3,51:07.3,word_freq,5,those,ailes,7
4932c72fdb55c,51:07.4,51:07.4,word_freq,5,those,anata,3
50373e9e0bbed,51:07.5,51:07.6,word_freq,5,those,poems,3
69a30f10c6b31,51:07.6,51:07.7,word_freq,5,those,howdy,6
7a9d71a48ff5c,51:07.8,51:07.8,word_freq,5,those,suess,3
82683d8f3fe63,51:07.9,51:08.0,word_freq,5,those,jerzy,7
9bf6d2d92c7da,51:08.0,51:08.1,word_freq,5,those,futur,4
0464d67275573,51:08.2,51:08.2,word_freq,5,world,dunno,3
100b913633085,51:08.3,51:08.3,word_freq,5,world,extol,4
2e3d028aaa7ba,51:08.4,51:08.4,word_freq,5,world,bling,5
3b2bdca412148,51:08.5,51:08.6,word_freq,5,world,mocks,7
4fd51734291cb,51:08.6,51:08.7,word_freq,5,world,title,3
5d703e5f7fdf9,51:08.8,51:08.8,word_freq,5,world,hobby,4
6d20c64778af8,51:08.9,51:08.9,word_freq,5,world,purdy,4
7a7b0e27b51e8,51:09.0,51:09.0,word_freq,5,world,diogo,6
89da81289b486,51:09.1,51:09.2,word_freq,5,world,bitsy,6
9dd78fe1c5bf8,51:09.2,51:09.3,word_freq,5,world,pence,6
03d81cd165059,51:09.4,51:09.4,word_freq,5,great,bunty,4
126d06b63ef30,51:09.5,51:09.5,word_freq,5,great,cholo,5
29b8ef8e8933c,51:09.6,51:09.7,word_freq,5,great,serbo,7
36e6280d51d83,51:09.7,51:09.8,word_freq,5,great,karev,7
4951c5cefcebd,51:09.9,51:09.9,word_freq,5,great,coons,6
5e9c5f9ab8fd3,51:10.0,51:10.0,word_freq,5,great,facie,4
6122305c88366,51:10.1,51:10.1,word_freq,5,great,oxfam,5
7e1ff4327bce0,51:10.2,51:10.3,word_freq,5,great,abdul,4
82e67d078e832,51:10.3,51:10.4,word_freq,5,great,somos,6
9a44a4216ddd1,51:10.5,51:10.5,word_freq,5,great,forst,3
3.28E+22,51:10.6,51:10.6,word_freq,5,while,stove,6
150360ff89480,51:10.7,51:10.7,word_freq,5,while,sails,4
22bcadec02232,51:10.8,51:10.9,word_freq,5,while,lange,4
38fb1eedcb78f,51:10.9,51:11.0,word_freq,5,while,mikan,4
4d14ea712b150,51:11.1,51:11.1,word_freq,5,while,sonja,5
5a6bfe53b5eb5,51:11.2,51:11.2,word_freq,5,while,cheon,8
66444492a1fba,51:11.3,51:11.4,word_freq,5,while,boban,5
73039d7269ba6,51:11.5,51:11.5,word_freq,5,while,munda,6
8df1b6cefa846,51:11.6,51:11.6,word_freq,5,while,aoife,6
9758a2fd6d369,51:11.7,51:11.7,word_freq,5,while,walks,2
0750f6bdf638b,51:11.8,51:11.9,word_freq,5,every,taker,5
1ed7897c63de4,51:11.9,51:12.0,word_freq,5,every,bushy,6
26d6701eebea5,51:12.1,51:12.1,word_freq,5,every,obama,3
351a3fc242964,51:12.2,51:12.3,word_freq,5,every,gotha,5
4bbf5cd1889eb,51:12.3,51:12.4,word_freq,5,every,yukio,3
5d31b40fd014b,51:12.5,51:12.5,word_freq,5,every,abuse,4
612e99df76079,51:12.6,51:12.6,word_freq,5,every,dozen,4
7fe8559e1a34a,51:12.7,51:12.8,word_freq,5,every,yelps,4
84231bf006dc1,51:12.8,51:12.9,word_freq,5,every,jonjo,7
9bd483d9dc16b,51:13.0,51:13.0,word_freq,5,every,dixon,6
0235b565e4342,51:13.1,51:13.2,word_freq,5,state,mammy,7
1bd382b9fa9d7,51:13.3,51:13.3,word_freq,5,state,comme,4
2f4f10566d58a,51:13.4,51:13.4,word_freq,5,state,kweli,7
35e5f83f7420c,51:13.5,51:13.5,word_freq,5,state,chiyo,7
460cba5211e51,51:13.6,51:13.6,word_freq,5,state,gully,5
53b4c5197dbd5,51:13.7,51:13.8,word_freq,5,state,crook,4
69b6c40096392,51:13.8,51:13.9,word_freq,5,state,prize,6
740268dc70866,51:14.0,51:14.0,word_freq,5,state,asser,5
81311087ae40f,51:14.1,51:14.1,word_freq,5,state,wider,4
97523cc6f4d81,51:14.2,51:14.2,word_freq,5,state,fairs,5
01c094ca44caa,51:14.3,51:14.4,word_freq,5,three,kajal,6
1440577b2b3cf,51:14.5,51:14.5,word_freq,5,three,boden,5
2cdd054a4420d,51:14.6,51:14.6,word_freq,5,three,gusts,5
3.80789E+12,51:14.7,51:14.8,word_freq,5,three,comma,6
40f6f11806498,51:14.8,51:14.9,word_freq,5,three,bossy,6
550e24548be02,51:15.0,51:15.0,word_freq,5,three,megha,4
658fccc95fc54,51:15.1,51:15.1,word_freq,5,three,ossie,5
70375b1d754bf,51:15.2,51:15.3,word_freq,5,three,tepid,4
87091a38c62ef,51:15.3,51:15.4,word_freq,5,three,luann,7
9b650d22bf0d2,51:15.5,51:15.5,word_freq,5,three,paolo,5
02259a7ce23da,51:15.6,51:15.6,word_freq,5,since,verna,3
102a1da0010f3,51:15.7,51:15.8,word_freq,5,since,rishi,4
20483102018fe,51:15.8,51:15.9,word_freq,5,since,fixed,5
3f4c1b5f75651,51:16.0,51:16.0,word_freq,5,since,outed,4
4fe554abad8ec,51:16.1,51:16.1,word_freq,5,since,heady,4
50521bb4a60f9,51:16.2,51:16.2,word_freq,5,since,nuovo,4
63b31a7957f11,51:16.3,51:16.4,word_freq,5,since,azusa,5
766da33bb18aa,51:16.5,51:16.5,word_freq,5,since,prego,4
8de4266e51456,51:16.6,51:16.6,word_freq,5,since,meade,4
9c195c56cc1e8,51:16.7,51:16.7,word_freq,5,since,beira,5
05ffa58c59144,51:16.8,51:16.9,word_freq,5,under,maire,7
1a8dedae56adb,51:17.0,51:17.0,word_freq,5,under,longs,5
232e401327918,51:17.1,51:17.1,word_freq,5,under,tolle,6
348535c2205b7,51:17.2,51:17.3,word_freq,5,under,cones,7
4637935649fd8,51:17.3,51:17.4,word_freq,5,under,dilma,4
5a02cb00379a1,51:17.5,51:17.5,word_freq,5,under,gills,8
69134464c70c2,51:17.6,51:17.6,word_freq,5,under,roofs,4
784cd9efe2d78,51:17.7,51:17.8,word_freq,5,under,lexie,6
8f2242c205c92,51:17.8,51:17.9,word_freq,5,under,lords,3
968e7a1c6001d,51:18.0,51:18.0,word_freq,5,under,igcse,4
06df48c47eef5,51:18.1,51:18.1,word_freq,5,thing,aisle,4
102a81330a9b8,51:18.2,51:18.2,word_freq,5,thing,tried,2
28cb93823d872,51:18.3,51:18.4,word_freq,5,thing,anion,4
3fb2d2ceb6125,51:18.4,51:18.5,word_freq,5,thing,boozy,5
4ac2c85e18fc1,51:18.6,51:18.6,word_freq,5,thing,likes,4
5af36be114e42,51:18.7,51:18.8,word_freq,5,thing,cuoco,5
6781daeef61d0,51:18.8,51:18.9,word_freq,5,thing,roald,3
77733f2d04bca,51:19.0,51:19.0,word_freq,5,thing,verve,6
8b545f20db278,51:19.1,51:19.2,word_freq,5,thing,stitt,7
932fa4d188615,51:19.2,51:19.3,word_freq,5,thing,morsi,4
0e6d948cd93e3,51:19.4,51:19.4,word_freq,5,house,blows,5
1864a72106a12,51:19.5,51:19.5,word_freq,5,house,tobin,4
2123899b0fecc,51:19.6,51:19.6,word_freq,5,house,kazan,5
31887ca14d254,51:19.7,51:19.8,word_freq,5,house,beats,6
49f57f5e82a84,51:19.8,51:19.9,word_freq,5,house,aviva,5
53547a92557e1,51:20.0,51:20.0,word_freq,5,house,showa,6
6ddbce8d384e3,51:20.1,51:20.1,word_freq,5,house,halak,7
72ecd9999c190,51:20.2,51:20.2,word_freq,5,house,dylan,4
8f12f151d37bd,51:20.3,51:20.4,word_freq,5,house,bjork,5
9c758033aa247,51:20.4,51:20.5,word_freq,5,house,sachs,5
0f207337fbe9f,51:20.6,51:20.6,word_freq,5,place,nutty,4
